number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,error
0,0,0,0,0,0,0
100,1,1,0.001,1,2,0.1732358
100,1,1,0.001,1,4,0.1696117
100,1,1,0.001,1,6,0.1099762
100,99,99,0.001,1,10,0.0546551
100,6,6,0.001,1,20,0.0218869
100,1,1,0.001,5,2,0.1732357
100,1,1,0.001,5,4,0.1696302
100,34,34,0.001,5,6,0.109932
100,100,100,0.001,5,10,0.0542933
100,100,100,0.001,5,20,0.0210342
100,1,1,0.001,20,2,0.1732359
100,2,2,0.001,20,4,0.16981279999999999
100,1,1,0.001,20,6,0.1099357
100,98,98,0.001,20,10,0.0549891
100,99,99,0.001,20,20,0.0235715
100,1,1,0.001,50,2,0.1732358
100,1,1,0.001,50,4,0.1696245
100,10,10,0.001,50,6,0.1099631
100,21,21,0.001,50,10,0.0570078
100,99,99,0.001,50,20,0.0269003
100,1,1,0.001,100,2,0.1732359
100,2,2,0.001,100,4,0.1696376
100,13,13,0.001,100,6,0.1100649
100,100,100,0.001,100,10,0.0556811
100,19,19,0.001,100,20,0.0313676
100,1,1,0.003,1,2,0.1732341
100,30,30,0.003,1,4,0.1293239
100,100,100,0.003,1,6,0.0948875
100,100,100,0.003,1,10,0.0490879
100,100,100,0.003,1,20,0.0201172
100,1,1,0.003,5,2,0.1732358
100,50,50,0.003,5,4,0.129311
100,100,100,0.003,5,6,0.0969412
100,100,100,0.003,5,10,0.049311
100,100,100,0.003,5,20,0.0201227
100,1,1,0.003,20,2,0.1732357
100,35,35,0.003,20,4,0.1292778
100,9,9,0.003,20,6,0.1099395
100,99,99,0.003,20,10,0.0495694
100,100,100,0.003,20,20,0.0223684
100,1,1,0.003,50,2,0.1732359
100,32,32,0.003,50,4,0.12930730000000001
100,100,100,0.003,50,6,0.0956441
100,100,100,0.003,50,10,0.049820500000000004
100,96,96,0.003,50,20,0.0255329
100,1,1,0.003,100,2,0.1732358
100,52,52,0.003,100,4,0.1291764
100,100,100,0.003,100,6,0.0964633
100,100,100,0.003,100,10,0.050409
100,100,100,0.003,100,20,0.0286515
100,16,16,0.005,1,2,0.1622454
100,18,18,0.005,1,4,0.129324
100,100,100,0.005,1,6,0.0895307
100,100,100,0.005,1,10,0.0449213
100,100,100,0.005,1,20,0.0196595
100,16,16,0.005,5,2,0.1622492
100,20,20,0.005,5,4,0.129311
100,100,100,0.005,5,6,0.0897762
100,100,100,0.005,5,10,0.0449175
100,100,100,0.005,5,20,0.0196225
100,16,16,0.005,20,2,0.1622491
100,35,35,0.005,20,4,0.1292279
100,2,2,0.005,20,6,0.10935980000000001
100,100,100,0.005,20,10,0.0451428
100,98,98,0.005,20,20,0.0215842
100,15,15,0.005,50,2,0.1622492
100,34,34,0.005,50,4,0.1292907
100,100,100,0.005,50,6,0.0890583
100,100,100,0.005,50,10,0.0456502
100,100,100,0.005,50,20,0.0243281
100,1,1,0.005,100,2,0.173234
100,46,46,0.005,100,4,0.1292095
100,98,98,0.005,100,6,0.0902965
