number_of_trees,mtry,min_observations,terminal_nodes,accuracy
0,0,0,0,0
500,1,1,100,NA
500,1,1,500,NA
500,1,1,1e3,NA
500,1,1,2500,NA
500,1,10,100,NA
500,1,10,500,NA
500,1,10,1e3,NA
500,1,10,2500,NA
500,1,25,100,NA
500,1,25,500,NA
500,1,25,1e3,NA
500,1,25,2500,NA
500,1,50,100,NA
500,1,50,500,NA
500,1,50,1e3,NA
500,1,50,2500,NA
500,1,100,100,NA
500,1,100,500,NA
500,1,100,1e3,NA
500,1,100,2500,NA
500,1,150,100,NA
500,1,150,500,NA
500,1,150,1e3,NA
500,1,150,2500,NA
500,2,1,100,NA
500,2,1,500,NA
500,2,1,1e3,NA
500,2,1,2500,NA
500,2,10,100,NA
500,2,10,500,NA
500,2,10,1e3,NA
500,2,10,2500,NA
500,2,25,100,NA
500,2,25,500,NA
500,2,25,1e3,NA
500,2,25,2500,NA
500,2,50,100,NA
500,2,50,500,NA
500,2,50,1e3,NA
500,2,50,2500,NA
500,2,100,100,NA
500,2,100,500,NA
500,2,100,1e3,NA
500,2,100,2500,NA
500,2,150,100,NA
500,2,150,500,NA
500,2,150,1e3,NA
500,2,150,2500,NA
500,3,1,100,NA
500,3,1,500,NA
500,3,1,1e3,NA
500,3,1,2500,NA
500,3,10,100,NA
500,3,10,500,NA
500,3,10,1e3,NA
500,3,10,2500,NA
500,3,25,100,NA
500,3,25,500,NA
500,3,25,1e3,NA
500,3,25,2500,NA
500,3,50,100,NA
500,3,50,500,NA
500,3,50,1e3,NA
500,3,50,2500,NA
500,3,100,100,NA
500,3,100,500,NA
500,3,100,1e3,NA
500,3,100,2500,NA
500,3,150,100,NA
500,3,150,500,NA
500,3,150,1e3,NA
500,3,150,2500,NA
500,4,1,100,NA
500,4,1,500,NA
500,4,1,1e3,NA
500,4,1,2500,NA
500,4,10,100,NA
500,4,10,500,NA
500,4,10,1e3,NA
500,4,10,2500,NA
500,4,25,100,NA
500,4,25,500,NA
500,4,25,1e3,NA
500,4,25,2500,NA
500,4,50,100,NA
500,4,50,500,NA
500,4,50,1e3,NA
