number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,error
0,0,0,0,0,0,0
100,1,1,0.001,1,2,0.2802487
100,1,1,0.001,1,4,0.280044
100,12,12,0.001,1,6,0.2757886
100,1,1,0.001,1,10,0.2719031
100,99,99,0.001,1,20,0.26470689999999997
100,1,1,0.001,5,2,0.2802486
100,7,7,0.001,5,4,0.2801977
100,12,12,0.001,5,6,0.2758239
100,6,6,0.001,5,10,0.2712377
100,81,81,0.001,5,20,0.2614594
100,1,1,0.001,20,2,0.2802485
100,1,1,0.001,20,4,0.2802486
100,9,9,0.001,20,6,0.27565850000000003
100,6,6,0.001,20,10,0.2712595
100,1,1,0.001,20,20,0.2619022
100,1,1,0.001,50,2,0.2802487
100,1,1,0.001,50,4,0.2801876
100,1,1,0.001,50,6,0.2756862
100,3,3,0.001,50,10,0.2719996
100,3,3,0.001,50,20,0.2628784
100,1,1,0.001,100,2,0.2802488
100,1,1,0.001,100,4,0.2802485
100,1,1,0.001,100,6,0.2756941
100,1,1,0.001,100,10,0.2717672
100,1,1,0.001,100,20,0.26465
100,1,1,0.003,1,2,0.2802486
100,1,1,0.003,1,4,0.280158
100,1,1,0.003,1,6,0.27574719999999997
100,1,1,0.003,1,10,0.2716491
100,65,65,0.003,1,20,0.2646734
100,1,1,0.003,5,2,0.2802485
100,1,1,0.003,5,4,0.2802544
100,1,1,0.003,5,6,0.275767
100,9,9,0.003,5,10,0.2716432
100,71,71,0.003,5,20,0.2612293
100,1,1,0.003,20,2,0.2802485
100,1,1,0.003,20,4,0.2802211
100,3,3,0.003,20,6,0.2757097
100,1,1,0.003,20,10,0.2713224
100,31,31,0.003,20,20,0.2620163
100,1,1,0.003,50,2,0.2802487
100,1,1,0.003,50,4,0.2802152
100,4,4,0.003,50,6,0.2757313
100,1,1,0.003,50,10,0.2716492
100,1,1,0.003,50,20,0.2627742
100,1,1,0.003,100,2,0.2802486
100,1,1,0.003,100,4,0.2802488
100,1,1,0.003,100,6,0.2753614
100,1,1,0.003,100,10,0.2721807
100,1,1,0.003,100,20,0.2647463
100,1,1,0.005,1,2,0.2802486
100,1,1,0.005,1,4,0.2802525
100,9,9,0.005,1,6,0.2757195
100,4,4,0.005,1,10,0.2711374
100,99,99,0.005,1,20,0.2637939
100,1,1,0.005,5,2,0.2802486
100,4,4,0.005,5,4,0.2802526
100,33,33,0.005,5,6,0.2756723
100,1,1,0.005,5,10,0.2705883
100,99,99,0.005,5,20,0.26092
100,1,1,0.005,20,2,0.2802486
100,1,1,0.005,20,4,0.2800518
100,40,40,0.005,20,6,0.2756764
100,1,1,0.005,20,10,0.26983029999999997
100,13,13,0.005,20,20,0.26168769999999997
100,1,1,0.005,50,2,0.2802486
100,1,1,0.005,50,4,0.2802487
100,1,1,0.005,50,6,0.2757079
100,6,6,0.005,50,10,0.2718065
100,5,5,0.005,50,20,0.2627289
100,1,1,0.005,100,2,0.2802487
100,1,1,0.005,100,4,0.2802485
100,1,1,0.005,100,6,0.2757078
100,1,1,0.005,100,10,0.2714602
100,2,2,0.005,100,20,0.2647269
100,1,1,0.01,1,2,0.2802486
100,4,4,0.01,1,4,0.2802527
100,43,43,0.01,1,6,0.2755739
100,63,63,0.01,1,10,0.2692322
100,38,38,0.01,1,20,0.2636933
100,1,1,0.01,5,2,0.2802486
100,9,9,0.01,5,4,0.2802488
100,26,26,0.01,5,6,0.275631
100,1,1,0.01,5,10,0.2710685
100,96,96,0.01,5,20,0.2606524
100,1,1,0.01,20,2,0.2802488
100,1,1,0.01,20,4,0.2802488
100,31,31,0.01,20,6,0.2756389
100,1,1,0.01,20,10,0.2711728
100,9,9,0.01,20,20,0.261922
100,1,1,0.01,50,2,0.2802485
100,1,1,0.01,50,4,0.2802349
100,1,1,0.01,50,6,0.2757847
100,1,1,0.01,50,10,0.271409
100,3,3,0.01,50,20,0.2626777
100,1,1,0.01,100,2,0.2802487
100,1,1,0.01,100,4,0.2802485
100,3,3,0.01,100,6,0.2757568
100,1,1,0.01,100,10,0.2719582
100,2,2,0.01,100,20,0.2646501
100,1,1,0.03,1,2,0.2802486
100,8,8,0.03,1,4,0.2802485
