number_of_trees,mtry,min_observations,terminal_nodes,accuracy
0,0,0,0,0
500,1,1,100,0.7209082266521798
500,1,1,500,0.7218352898105725
500,1,1,1e3,0.722056722093628
500,1,1,2500,0.720984989843639
500,1,10,100,0.7200475931787043
500,1,10,500,0.7209466082479092
500,1,10,1e3,0.720989418489301
500,1,10,2500,0.7214485214228347
500,1,25,100,0.7201804525485386
500,1,25,500,0.7206233171146494
500,1,25,1e3,0.7214337592706317
500,1,25,2500,0.7219696253956251
500,1,50,100,0.7212580896594076
500,1,50,500,0.7221054371958995
500,1,50,1e3,0.7220286740044402
500,1,50,2500,0.720877226132553
500,1,100,100,0.7205170296187815
500,1,100,500,0.7221039609806796
500,1,100,1e3,0.722112818272001
500,1,100,2500,0.7209864660588593
500,1,150,100,0.7203561221597626
500,1,150,500,0.7211429448722184
500,1,150,1e3,0.7211045632764885
500,1,150,2500,0.7212433275072041
500,2,1,100,0.7261694576975769
500,2,1,500,0.7287188813831544
500,2,1,1e3,0.7292193183428596
500,2,1,2500,0.7301330955642681
500,2,10,100,0.7254889224809857
500,2,10,500,0.7287498819027823
500,2,10,1e3,0.7292266994189611
500,2,10,2500,0.7303412419103403
500,2,25,100,0.726134028532287
500,2,25,500,0.7288045018659356
500,2,25,1e3,0.729759613113515
500,2,25,2500,0.7302305257688126
500,2,50,100,0.7256690207378711
500,2,50,500,0.7288236926638004
500,2,50,1e3,0.7297418985308703
500,2,50,2500,0.7299795691813507
500,2,100,100,0.7253472058198313
500,2,100,500,0.7289786952619393
500,2,100,1e3,0.7298009471396849
500,2,100,2500,0.7302320019840338
500,2,150,100,0.7260705512778121
500,2,150,500,0.7289875525532625
500,2,150,1e3,0.73041800510179955
500,2,150,2500,0.73005928480325
500,3,1,100,0.7253870636307813
500,3,1,500,0.7309258231376068
500,3,1,1e3,0.7332272426661626
500,3,1,2500,0.7348746988520946
500,3,10,100,0.7252719188435918
500,3,10,500,0.7311177311162542
500,3,10,1e3,0.733202147007416
500,3,10,2500,0.7354710898011249
500,3,25,100,0.7257398790684493
500,3,25,500,0.7315192616561951
500,3,25,1e3,0.7333069582880631
500,3,25,2500,0.7365162501771454
500,3,50,100,0.7262565543955782
500,3,50,500,0.7318159809154898
500,3,50,1e3,0.7332803864140955
500,3,50,2500,0.7375215527422179
500,3,100,100,0.726340698663139
500,3,100,500,0.7327696159478481
500,3,100,1e3,0.7336922504605793
500,3,100,2500,0.738337899759082
500,3,150,100,0.7267466578487418
500,3,150,500,0.7330515730549385
500,3,150,1e3,0.7343034035618127
500,3,150,2500,0.7389638150125186
500,4,1,100,0.7270876635646467
500,4,1,500,0.7290923638339085
500,4,1,1e3,0.7329659525721569
500,4,1,2500,0.7355581864991257
500,4,10,100,0.7270847111342051
500,4,10,500,0.7291351740752984
500,4,10,1e3,0.7329954768765647
500,4,10,2500,0.7357441896168927
500,4,25,100,0.7270241863101702
500,4,25,500,0.7294200836128304
500,4,25,1e3,0.7334560560253196
500,4,25,2500,0.735922811658557
500,4,50,100,0.7270950446407483
500,4,50,500,0.7292503188624879
500,4,50,1e3,0.7338236336151923
500,4,50,2500,0.7371141173413955
500,4,100,100,0.7271245689451563
500,4,100,500,0.733035334687515
500,4,100,1e3,0.7339018730218718
500,4,100,2500,0.7378492725211399
500,4,150,100,0.7271614743256645
500,4,150,500,0.73301762010487
500,4,150,1e3,0.7354548514337003
500,4,150,2500,0.7379171784212758
1e3,1,1,100,0.7209244650196047
1e3,1,1,500,0.7215503802730411
1e3,1,1,1e3,0.7207355094713974
1e3,1,1,2500,0.7212315177854413
1e3,1,10,100,0.7200594029004677
1e3,1,10,500,0.7220183404978981
1e3,1,10,1e3,0.7211458973026601
1e3,1,10,2500,0.7213008999007989
1e3,1,25,100,0.7201095942179605
1e3,1,25,500,0.7209879422740807
1e3,1,25,1e3,0.7214839505881245
1e3,1,25,2500,0.7219873399782702
1e3,1,50,100,0.7205686971514946
1e3,1,50,500,0.7218441471018944
1e3,1,50,1e3,0.7213599485096136
1e3,1,50,2500,0.7206366030516326
1e3,1,100,100,0.7208521304738064
1e3,1,100,500,0.7213569960791719
1e3,1,100,1e3,0.7218928622041658
1e3,1,100,2500,0.7212108507723565
1e3,1,150,100,0.7209480844631295
1e3,1,150,500,0.7219238627237937
1e3,1,150,1e3,0.7204004086163726
1e3,1,150,2500,0.7215651424252442
1e3,2,1,100,0.7252733950588119
1e3,2,1,500,0.7287720251310874
1e3,2,1,1e3,0.7292473664320465
1e3,2,1,2500,0.7303072889602719
1e3,2,10,100,0.7254224927960695
1e3,2,10,500,0.7287292148896976
1e3,2,10,1e3,0.7291986513297749
1e3,2,10,2500,0.7304711488497325
1e3,2,25,100,0.7252733950588119
1e3,2,25,500,0.7288251688790217
1e3,2,25,1e3,0.7295736099957478
1e3,2,25,2500,0.7304357196844447
1e3,2,50,100,0.7255110657092922
1e3,2,50,500,0.7289255515140064
1e3,2,50,1e3,0.7297020407199202
1e3,2,50,2500,0.7301832868817609
1e3,2,100,100,0.725741355283669
1e3,2,100,500,0.7290082195663473
1e3,2,100,1e3,0.7297551844678536
1e3,2,100,2500,0.7309671571637769
1e3,2,150,100,0.7265768930983979
1e3,2,150,500,0.7290495535925173
1e3,2,150,1e3,0.7300814280315551
1e3,2,150,2500,0.7305744839151587
1e3,3,1,100,0.725468255467901
1e3,3,1,500,0.730863822098352
1e3,3,1,1e3,0.7332803864140955
1e3,3,1,2500,0.7349130804478243
1e3,3,10,100,0.7251833459303705
1e3,3,10,500,0.7310099674051681
1e3,3,10,1e3,0.7332877674901982
1e3,3,10,2500,0.7354105649770887
1e3,3,25,100,0.725146440549861
1e3,3,25,500,0.7313229250318862
1e3,3,25,1e3,0.7333453398837919
1e3,3,25,2500,0.7366269663186731
1e3,3,50,100,0.7260144550994375
1e3,3,50,500,0.7318912678917279
1e3,3,50,1e3,0.7333202442250464
1e3,3,50,2500,0.737624887807643
1e3,3,100,100,0.7254210165808492
1e3,3,100,500,0.7324950399168598
1e3,3,100,1e3,0.7335579148755254
1e3,3,100,2500,0.7383364235438615
1e3,3,150,100,0.7253590155415945
1e3,3,150,500,0.7330766687136846
1e3,3,150,1e3,0.7342281165855734
1e3,3,150,2500,0.7389726723038407
1e3,4,1,100,0.7270374722471534
1e3,4,1,500,0.7296031343001559
1e3,4,1,1e3,0.7329467617742926
1e3,4,1,2500,0.7354769946620059
1e3,4,10,100,0.7269828522840007
1e3,4,10,500,0.7292030799754362
1e3,4,10,1e3,0.7329187136851057
1e3,4,10,2500,0.7357707614908598
1e3,4,25,100,0.7268086588879965
1e3,4,25,500,0.729489465728188
1e3,4,25,1e3,0.7334516273796595
1e3,4,25,2500,0.7359405262412022
1e3,4,50,100,0.7270876635646467
1e3,4,50,500,0.7293566063583539
1e3,4,50,1e3,0.733802966602107
1e3,4,50,2500,0.7370284968586144
1e3,4,100,100,0.7270359960319337
1e3,4,100,500,0.7330707638528035
1e3,4,100,1e3,0.7339919221503143
1e3,4,100,2500,0.7376617931881524
1e3,4,150,100,0.7271039019320701
1e3,4,150,500,0.7329275709764277
1e3,4,150,1e3,0.735547852992584
1e3,4,150,2500,0.7380234659171433
1500,1,1,100,0.720443218857764
1500,1,1,500,0.7211267065047952
